PROJECT_RID,LSite,REF_MACRO_SAMPLE_TYPE.MACRO_SAMPLE_TYPE_NAME,ACTIVITY_NO,SAMPLE_NO,Stream,Date,TAXA_COUNT,INDIVIDUALS_COUNT,EPT_INDEX,PCT_ORTHOCLADIINAE_TANYTARSINI,PCT_NONINSECT_NO_ASTACIDAE,DIPTERA_TAXA,PCT_INTOLERANT,PCT_TOLERANT,PCT_PREDATORS_FFG_1,PCT_SHREDDERS_SCRAPPERS_FFG_1,PCT_COLLECTOR_FILTERERS_FFG_1,PCT_SPRAWLERS,12-Digit HUC
694,WBU190-0002,MHAB,AA24836,040915106,Maria Creek,15-Sep-04,16,35,1,0,28.57,2,0,28.57,34.29,8.57,0,0,051201111801
694,WUW040-0002,MHAB,AA24848,040921102,Wabash River,21-Sep-04,31,97,6,0,10.31,2,6.19,6.19,63.92,5.15,6.19,1.03,051201010502
694,WUW090-0004,MHAB,AA24849,040921104,Wabash River,21-Sep-04,20,143,4,54.17,24.48,10,36.36,2.1,6.99,2.8,60.84,0.7,051201011303
694,LEJ050-0011,MHAB,AA24008,040922105,Fish Creek,22-Sep-04,27,55,6,35,9.09,11,16.36,7.27,7.27,3.64,20,3.64,041000030406
694,LEJ080-0011,MHAB,AA24009,040922103,Cedar Creek,22-Sep-04,32,99,6,0,10.1,8,9.09,8.08,23.23,10.1,12.12,0,041000030602
694,LMJ090-0008,MHAB,AA24846,040922108,Eaton Creek,22-Sep-04,33,118,8,54.55,5.93,10,14.41,4.24,11.02,9.32,38.98,2.54,040500010801
694,WUW110-0004,MHAB,AA24850,040922102,Eightmile Creek,22-Sep-04,22,110,9,11.11,0,11,58.18,0,2.73,6.36,30.91,0.91,051201010904
694,WAE040-0005,MHAB,AA24847,040923102,Eel River,23-Sep-04,29,84,9,77.78,16.67,8,36.9,4.76,27.38,2.38,8.33,1.19,051201040407
694,WTI080-0003,MHAB,AA24056,040927101,Tippecanoe River,27-Sep-04,42,78,17,16.67,19.23,4,30.77,10.26,24.36,11.54,6.41,0,051201060903
694,WTI080-0004,MHAB,AA24862,040927104,Mud Creek,27-Sep-04,19,63,3,0,66.67,1,14.29,61.9,6.35,14.29,1.59,1.59,051201060902
694,LMJ200-0016,MHAB,AA24851,040928104,Dausman Ditch,28-Sep-04,14,75,0,0,45.33,2,0,36,36,0,0,1.33,040500011708
694,LMJ230-0006,MHAB,AA24852,040928106,Baugo Creek,28-Sep-04,14,27,2,87.5,3.7,5,18.52,3.7,33.33,3.7,18.52,0,040500012103
694,LMJ240-0022,MHAB,AA24853,040928108,Willow Creek,28-Sep-04,10,43,2,100,83.72,1,2.33,2.33,2.33,2.33,2.33,2.33,040500012204
694,WTI050-0006,MHAB,AA24859,040928102,Mill Creek,28-Sep-04,22,57,2,10,28.07,7,7.02,1.75,52.63,3.51,21.05,3.51,051201060502
694,UMK030-0017,MHAB,AA24019,040929101,Travis Ditch,29-Sep-04,34,117,6,64.29,30.77,10,15.38,25.64,23.08,23.08,17.09,0.85,071200010403
694,UMK060-0018,MHAB,AA24020,040929103,Yellow River,29-Sep-04,41,159,13,33.33,5.66,10,32.7,3.14,28.93,0,19.5,0.63,071200010506
694,UMK100-0005,MHAB,AA24858,040929108,Schatzley Ditch,29-Sep-04,18,116,2,100,75.86,1,0.86,18.97,15.52,0.86,0,0.86,071200010903
694,WTI060-0013,MHAB,AA24860,040929106,House Ditch,29-Sep-04,23,62,1,0,53.23,0,0,38.71,20.97,4.84,9.68,0,051201060602
694,UMI050-0017,MHAB,AA24855,040930104,Bonham Ditch,30-Sep-04,24,68,3,0,1.47,6,10.29,2.94,45.59,4.41,1.47,0,071200020506
694,UMC030-0012,MHAB,AA24017,040930101,Little Calumet River,30-Sep-04,15,66,0,0,62.12,2,0,37.88,39.39,3.03,16.67,18.18,071200030305
694,WDE050-0011,MHAB,AA24031,041005101,Deer Creek,05-Oct-04,46,238,18,79.61,7.56,20,23.95,10.08,1.26,8.82,6.72,2.1,051201050508
694,WDE050-0012,MHAB,AA24032,041005103,Deer Creek,05-Oct-04,55,258,18,91.53,3.88,20,36.05,1.16,7.36,12.4,13.57,1.94,051201050508
694,WAW020-0072,MHAB,AA24024,041006101,Wildcat Creek,06-Oct-04,59,170,9,31.03,33.53,18,13.53,34.12,18.24,5.29,9.41,1.76,051201070408
694,WAW020-0043,MHAB,AA24863,041006104,Wildcat Creek,06-Oct-04,48,330,18,65.38,0.91,17,37.58,0.61,3.03,3.64,31.21,1.82,051201070409
694,WAW020-0074,MHAB,AA24025,041006105,Wildcat Creek,06-Oct-04,51,256,11,60,7.03,21,25.78,8.98,5.08,3.52,25,0.39,051201070407
694,WDE050-0014,MHAB,AA24034,041006107,Little Deer Creek,06-Oct-04,65,250,12,54.88,9.6,26,12.8,4.8,18,10,23.2,2.4,051201050503
694,WLV050-0005,MHAB,AA24870,041012104,Mud Pine Creek,12-Oct-04,45,229,19,55,0.87,17,33.19,0,5.68,6.99,32.75,3.93,051201080304
694,WSU020-0009,MHAB,AA24053,041012101,Sugar Creek,12-Oct-04,58,179,11,28.57,11.17,16,21.23,1.68,19.55,15.64,7.82,8.94,051201100406
694,WLV060-0005,MHAB,AA24051,041013101,Big Pine Creek,13-Oct-04,41,166,13,23.08,4.22,14,49.4,1.2,13.86,18.67,18.07,2.41,051201080410
694,WTI120-0005,MHAB,AA24873,041013104,Honey Creek,13-Oct-04,36,115,5,71.43,14.78,8,7.83,4.35,20.87,1.74,14.78,3.48,051201061207
694,WDE050-0013,MHAB,AA24869,041013106,Deer Creek,13-Oct-04,31,99,13,60,4.04,12,26.26,0,5.05,17.17,8.08,3.03,051201050508
694,WWU070-0002,MHAB,AA24874,041014102,Stony Creek,14-Oct-04,38,103,8,81.25,26.21,12,1.94,5.83,36.89,14.56,8.74,2.91,051202010704
694,WMI030-0004,MHAB,AA24052,041020103,Mississinewa River,20-Oct-04,44,162,12,32.14,16.05,11,20.37,10.49,8.64,32.72,16.05,6.17,051201030402
694,WWU050-0010,MHAB,AA24069,041020101,Pipe Creek,20-Oct-04,20,47,3,0,27.66,5,2.13,14.89,21.28,29.79,10.64,6.38,051202010405
694,WWU010-0015,MHAB,AA24067,041020105,West Fork White River,20-Oct-04,44,189,11,62.5,12.17,12,23.28,9.52,7.41,10.58,21.16,0,051202010109
694,WED010-0011,MHAB,AA24035,041021101,Big Blue River,21-Oct-04,24,141,6,39.13,11.35,9,9.93,13.48,3.55,3.55,8.51,1.42,051202040106
694,WED030-0008,MHAB,AA24036,041021103,Little Blue River,21-Oct-04,41,125,11,40,13.6,14,31.2,3.2,8,29.6,23.2,5.6,051202040203
694,WED040-0003,MHAB,AA24037,041021105,Brandywine Creek,21-Oct-04,64,163,13,43.18,14.11,20,20.25,14.11,17.18,14.72,4.29,4.29,051202040303
694,WEF050-0006,MHAB,AA24039,041021107,Lewis Creek,21-Oct-04,60,142,13,38.46,18.31,18,12.68,15.49,16.9,18.31,9.86,4.23,051202050503
694,GMW040-0012,MHAB,AA24005,041025101,Whitewater River,25-Oct-04,53,178,13,58.57,6.18,23,15.17,5.06,10.67,13.48,20.79,6.74,050800030408
694,GMW050-0006,MHAB,AA24006,041025103,Little Salt Creek,25-Oct-04,38,91,9,50,3.3,7,41.76,5.49,9.89,17.58,20.88,1.1,050800030504
694,OSK030-0009,MHAB,AA24015,041025105,West Fork Indian Kentuck Creek,25-Oct-04,33,87,7,0,17.24,3,36.78,11.49,10.34,4.6,14.94,0,051401010204
694,WEM050-0005,MHAB,AA24890,041026106,Leatherwood Creek,26-Oct-04,39,136,9,30,13.97,10,36.76,15.44,18.38,18.38,3.68,4.41,051202070402
694,OSK030-0012,MHAB,AA24886,041026102,Indian Kentuck Creek,26-Oct-04,21,66,5,0,4.55,3,60.61,3.03,10.61,0,28.79,3.03,051401010205
694,WEM050-0008,MHAB,AA24891,041026104,Vernon Fork Muscatatuck River,26-Oct-04,26,169,4,0,29.59,2,32.54,1.78,4.73,9.47,24.85,1.18,051202070402
694,WEM060-0003,MHAB,AA24048,041026107,Otter Creek,26-Oct-04,29,187,10,0,8.56,4,40.11,0,9.63,16.04,51.87,1.6,051202070303
694,WEL090-0009,MHAB,AA24041,041027105,Pleasant Run Creek,27-Oct-04,22,121,6,0,60.33,1,9.09,48.76,10.74,8.26,4.96,0,051202080806
694,WEL090-0013,MHAB,AA24042,041027101,Henderson Creek,27-Oct-04,21,83,6,0,40.96,3,31.33,30.12,15.66,4.82,0,1.2,051202080804
694,WEL090-0015,MHAB,AA24043,041027103,Wolf Creek,27-Oct-04,14,73,1,0,65.75,0,6.85,52.05,5.48,8.22,0,0,051202080806
694,WED090-0008,MHAB,AA24038,041115101,Sugar Creek,15-Nov-04,52,210,15,60,22.86,14,29.52,12.86,13.33,16.19,10,1.43,051202040705
694,WEL030-0004,MHAB,AA24040,041115103,Guthrie Creek,15-Nov-04,37,128,13,50,19.53,7,32.81,15.63,14.84,10.94,20.31,3.91,051202080202
694,WEL150-0005,MHAB,AA24899,041116102,Lost River,16-Nov-04,34,84,10,0,13.1,2,26.19,2.38,32.14,17.86,7.14,0,051202081204
512,LES040-0092,MHAB,AA27941,050718201,Fuch Ditch,18-Jul-05,60,502,2,29.52,15.54,29,0.4,21.71,51.39,16.33,1.2,12.55,041000040403
512,LES040-0093,MHAB,AA27923,050718202,Bluhm Ditch,18-Jul-05,21,162,1,0,48.77,3,0.62,20.37,11.11,36.42,13.58,0,041000040407
512,LMG030-0022,MHAB,AA27939,050718101,Deep River,18-Jul-05,27,112,3,3.85,16.07,5,2.68,7.14,17.86,1.79,0.89,0.89,040400010504
512,LES050-0019,MHAB,AA27960,050718203,Saint Marys River,18-Jul-05,27,80,3,0,6.25,8,7.5,5,41.25,10,0,6.25,041000040504
512,LMG040-0008,MHAB,AA27929,050718102,Willow Creek,18-Jul-05,21,69,0,3.57,34.78,8,0,28.99,18.84,5.8,2.9,1.45,040400010509
512,LES060-0020,MHAB,AA27946,050719201,Lowther Neuhaus Ditch,19-Jul-05,30,123,1,0,13.82,10,0.81,14.63,13.01,4.88,3.25,4.07,041000040605
512,LMG070-0036,MHAB,AA27951,050719101,Tributary of Dingler Lake,19-Jul-05,14,71,1,0,71.83,3,5.63,47.89,5.63,1.41,8.45,1.41,040400010104
512,LES060-0021,MHAB,AA27926,050719202,Saint Marys River,19-Jul-05,23,111,0,5.88,6.31,5,0,5.41,56.76,3.6,0.9,0,041000040602
512,LEA120-0007,MHAB,AA27934,050719203,Flatrock Creek,19-Jul-05,33,116,3,25,14.66,10,19.83,2.59,13.79,12.93,11.21,1.72,041000071204
512,LMG070-0035,MHAB,AA27948,050719102,East Branch of Trail Creek,19-Jul-05,25,76,7,50,35.53,7,35.53,0,17.11,1.32,9.21,6.58,040400010104
512,LEM010-0035,MHAB,AA27930,050719204,Black Creek,19-Jul-05,28,77,2,0,19.48,3,1.3,12.99,28.57,16.88,3.9,0,041000050104
512,LMJ230-0009,MHAB,AA27942,050719103,Grimes Ditch,19-Jul-05,27,105,2,0,30.48,2,4.76,25.71,43.81,0.95,0.95,0,040500012101
512,LMJ240-0040,MHAB,AA27953,050719104,Eller Ditch,19-Jul-05,18,92,2,0,45.65,6,8.7,1.09,19.57,2.17,5.43,7.61,040500012203
512,LEJ090-0031,MHAB,AA27937,050719205,Cedar Creek,19-Jul-05,37,106,6,54.55,8.49,9,15.09,6.6,34.91,2.83,11.32,5.66,041000030707
512,LMJ230-0008,MHAB,AA27935,050719105,Baugo Creek,19-Jul-05,24,91,5,50,8.79,6,7.69,7.69,27.47,15.38,13.19,2.2,040500012104
512,LEJ080-0013,MHAB,AA27944,050720201,Tributary of Matson Ditch,20-Jul-05,36,112,1,63.27,17.86,14,5.36,7.14,27.68,6.25,28.57,12.5,041000030603
512,LMJ160-0004,MHAB,AA27945,050720101,Christiana Creek,20-Jul-05,17,63,4,0,19.05,0,9.52,0,6.35,20.63,6.35,0,040500011403
512,LEJ050-0064,MHAB,AA27924,050720202,West Branch Fish Creek,20-Jul-05,63,207,6,37.14,10.14,24,6.76,10.63,33.82,7.25,5.31,5.31,041000030401
512,LEJ050-0064,MHAB,AA39497,050720203,West Branch Fish Creek,20-Jul-05,51,166,3,29.63,15.06,18,4.22,16.27,26.51,12.05,6.63,6.02,041000030401
512,LMJ180-0046,MHAB,AA27925,050725201,Carrol Creek,25-Jul-05,38,120,1,36.11,26.67,17,5,27.5,22.5,12.5,6.67,9.17,040500011602
512,LMJ200-0051,MHAB,AA27936,050725101,Omar-Neff Ditch,25-Jul-05,30,257,3,25,62.26,5,5.84,34.24,24.12,43.19,1.95,1.56,040500011707
512,LMJ200-0054,MHAB,AA27928,050725102,Turkey Creek,25-Jul-05,27,94,3,70,21.28,8,8.51,8.51,19.15,9.57,12.77,0,040500011705
512,LMJ200-0054,MHAB,AA39498,050725103,Turkey Creek,25-Jul-05,36,107,4,71.43,30.84,8,5.61,8.41,19.63,9.35,12.15,2.8,040500011705
512,LMJ190-0025,MHAB,AA27933,050725202,Elkhart River,25-Jul-05,61,226,10,5.56,29.2,13,9.73,15.04,29.65,8.85,10.18,0.44,040500011802
512,LMJ230-0010,MHAB,AA27954,050725104,Davidhizer Ditch,25-Jul-05,15,398,0,0,95.73,8,0,96.23,1.01,4.02,0.25,0.25,040500012102
512,LMJ170-0077,MHAB,AA27932,050725203,Gretzinger Ditch,25-Jul-05,34,145,3,20.83,35.86,10,24.14,2.76,11.03,22.76,4.14,11.72,040500011506
512,LEJ080-0014,MHAB,AA27950,050725204,Tributary of Leins Ditch,25-Jul-05,42,147,3,35.71,21.09,17,7.48,3.4,21.77,21.77,13.61,8.84,041000030601
512,LMJ210-0024,MHAB,AA27940,050726101,Rock Run Creek,26-Jul-05,35,104,5,36.36,45.19,7,10.58,36.54,6.73,20.19,7.69,0.96,040500011901
512,LMJ120-0041,MHAB,AA27947,050726201,Pigeon River,26-Jul-05,35,106,8,33.33,30.19,6,10.38,18.87,24.53,12.26,8.49,0.94,040500011106
512,LMJ120-0042,MHAB,AA27952,050726202,Pigeon River,26-Jul-05,45,93,7,11.11,32.26,8,15.05,27.96,16.13,11.83,8.6,1.08,040500011106
512,LMJ140-0029,MHAB,AA27956,050726102,Little Elkhart River,26-Jul-05,26,68,6,50,42.65,7,16.18,5.88,11.76,5.88,14.71,0,040500011205
512,LMJ140-0028,MHAB,AA27931,050726103,Little Elkhart River,26-Jul-05,30,101,2,16.67,34.65,4,3.96,14.85,18.81,14.85,5.94,0,040500011204
512,LMJ110-0080,MHAB,AA27921,050726203,Branch of Turkey Creek,26-Jul-05,44,231,3,21.43,39.83,16,2.6,51.95,21.21,3.9,10.39,1.3,040500011008
512,LMJ190-0026,MHAB,AA27943,050726104,Stony Creek,26-Jul-05,31,82,3,75,18.29,5,4.88,14.63,23.17,31.71,3.66,4.88,040500011801
512,LMJ190-0028,MHAB,AA27959,050726105,Cromwell Ditch,26-Jul-05,16,67,0,83.33,10.45,7,0,4.48,16.42,5.97,22.39,5.97,040500011804
512,OML030-0010,MHAB,AA27990,050801201,Salt Fork,01-Aug-05,36,192,9,0,4.17,6,14.06,4.17,8.33,45.83,16.15,1.04,050902030304
512,OHP020-0007,MHAB,AA27971,050801101,Hurricane Creek,01-Aug-05,21,89,2,20,3.37,4,1.12,15.73,55.06,25.84,1.12,15.73,051402020101
512,OML040-0008,MHAB,AA27978,050801202,South Hogan Creek,01-Aug-05,22,99,7,0,27.27,1,13.13,0,3.03,12.12,9.09,0,050902030402
512,OLP140-0095,MHAB,AA27995,050801102,Little Pigeon Creek,01-Aug-05,19,52,1,0,9.62,2,0,9.62,28.85,15.38,0,0,051402010908
512,OML070-0015,MHAB,AA39566,050802202,Hayes Branch,02-Aug-05,19,46,2,0,6.52,4,32.61,4.35,13.04,8.7,0,0,050902030603
512,OML070-0015,MHAB,AA27989,050802201,Hayes Branch,02-Aug-05,22,68,4,7.14,11.76,5,44.12,20.59,13.24,7.35,2.94,4.41,050902030603
512,OLP140-0094,MHAB,AA27986,050802101,Little Pigeon Creek,02-Aug-05,27,114,1,0,6.14,6,0,7.89,23.68,9.65,0,4.39,051402010908
512,OML200-0004,MHAB,AA28009,050802203,Indian Creek,02-Aug-05,29,119,5,4.76,2.52,9,52.1,0.84,16.81,0,1.68,0.84,050902030902
512,OLP070-0016,MHAB,AA28005,050802102,Anderson River,02-Aug-05,26,93,4,50,12.9,3,5.38,4.3,45.16,4.3,9.68,1.08,051402010405
512,OSK030-0015,MHAB,AA28004,050802204,Indian Kentuck Creek,02-Aug-05,13,68,2,40,10.29,5,57.35,11.76,2.94,10.29,4.41,5.88,051401010205
512,OLP040-0006,MHAB,AA27975,050802103,Tributary of Neglie Creek,02-Aug-05,21,79,5,0,1.27,3,29.11,3.8,11.39,5.06,2.53,1.27,051402010102
512,OLP060-0011,MHAB,AA28008,050803101,Winding Branch,03-Aug-05,19,93,0,78.95,44.09,7,0,8.6,27.96,5.38,15.05,0,051402010301
512,OLP060-0011,MHAB,AA39565,050803102,Winding Branch,03-Aug-05,19,77,0,69.23,53.25,6,0,9.09,18.18,0,9.09,1.3,051402010301
512,OSK140-0036,MHAB,AA28002,050803201,Sugar Run,03-Aug-05,33,707,3,13.04,4.95,7,56.72,4.81,2.55,5.66,0.99,0.99,051401010804
512,OBS200-0007,MHAB,AA27988,050803103,Oil Creek,03-Aug-05,27,71,2,33.33,2.82,7,33.8,0,14.08,8.45,2.82,2.82,051401041201
512,OSK070-0014,MHAB,AA27987,050808201,Fourteenmile Creek,08-Aug-05,63,400,14,57.89,2.75,26,56,0.25,10.75,9.25,29.25,3.5,051401010403
512,OSK140-0035,MHAB,AA27996,050808202,Silver Creek,08-Aug-05,37,77,4,42.86,20.78,8,7.79,14.29,41.56,2.6,3.9,5.19,051401010805
512,OBS080-0008,MHAB,AA27976,050808203,Indian Creek,08-Aug-05,19,45,4,37.5,4.44,5,48.89,11.11,8.89,4.44,6.67,4.44,051401040301
512,OBS010-0004,MHAB,AA27979,050809201,Mosquito Creek,09-Aug-05,35,97,9,42.86,14.43,7,27.84,2.06,26.8,25.77,2.06,9.28,051401040101
512,OBS050-0009,MHAB,AA28016,050809202,Buck Creek,09-Aug-05,34,107,8,100,19.63,2,12.15,0.93,14.95,28.04,8.41,1.87,051401040205
512,OBS090-0005,MHAB,AA27983,050809203,Indian Creek,09-Aug-05,42,282,18,7.69,7.09,2,44.33,0.71,9.22,15.6,31.91,0,051401040403
512,OBS130-0007,MHAB,AA28000,050809204,Bear Creek,09-Aug-05,40,133,11,37.5,27.82,7,27.07,1.5,13.53,17.29,11.28,1.5,051401040603
512,OBS090-0007,MHAB,AA39567,050810202,Indian Creek,10-Aug-05,40,100,14,16.67,28,9,25,2,21,4,25,6,051401040401
512,OBS090-0007,MHAB,AA28018,050810201,Indian Creek,10-Aug-05,46,224,13,29.41,5.36,9,37.05,0.45,20.54,6.25,35.27,1.79,051401040401
512,OBS180-0021,MHAB,AA28015,050810203,Otter Creek,10-Aug-05,18,54,4,6.67,0,5,46.3,0,38.89,1.85,0,22.22,051401041102
512,OBS200-0006,MHAB,AA27977,050815201,Little Oil Creek,15-Aug-05,24,124,2,0,58.87,6,1.61,8.87,15.32,16.94,49.19,1.61,051401041202
512,OBS200-0006,MHAB,AA39860,050815202,Little Oil Creek,15-Aug-05,46,162,4,0,19.14,14,3.7,11.73,33.33,4.94,9.26,2.47,051401041202
512,OBS150-0021,MHAB,AA28001,050815203,Blue River,15-Aug-05,68,450,14,13.64,7.56,16,33.11,1.33,22.44,11.78,31.78,1.56,051401040905
512,OBS180-0019,MHAB,AA28003,050816201,Little Blue River,16-Aug-05,44,148,5,39.29,24.32,13,9.46,3.38,16.22,6.76,9.46,4.05,051401041105
512,OBS140-0007,MHAB,AA27997,050816203,Blue River,16-Aug-05,60,346,17,11.11,12.72,12,39.02,7.51,20.52,23.99,12.72,2.6,051401040805
512,OLP070-0019,MHAB,AA28017,050823101,Anderson River,23-Aug-05,23,80,1,20,41.25,2,1.25,12.5,20,10,15,0,051402010405
512,OBS140-0006,MHAB,AA27972,050823102,Blue River,23-Aug-05,23,64,2,0,18.75,0,10.94,3.13,23.44,12.5,0,0,051401040805
512,OBS150-0022,MHAB,AA28012,050824101,Blue River,24-Aug-05,59,295,8,8.33,12.88,13,24.07,3.73,38.31,13.9,3.05,1.02,051401040903
512,LMJ120-0040,MHAB,AA27938,050912101,Pigeon River,12-Sep-05,26,67,9,57.14,22.39,8,25.37,0,25.37,7.46,28.36,5.97,040500011103
512,LEJ070-0026,MHAB,AA27955,050913101,Saint Joseph River,13-Sep-05,10,15,1,0,13.33,0,13.33,0,53.33,13.33,0,0,041000030803
512,LEJ070-0027,MHAB,AA27927,050913102,Saint Joseph River,13-Sep-05,29,111,1,0,7.21,8,0.9,5.41,33.33,5.41,4.5,5.41,041000030803
512,LEJ090-0033,MHAB,AA27962,050914101,Little Cedar Creek,14-Sep-05,35,67,6,26.09,1.49,13,16.42,1.49,29.85,4.48,10.45,8.96,041000030705
512,LEM010-0039,MHAB,AA27958,050914102,Maumee River,14-Sep-05,23,76,4,10,27.63,5,10.53,19.74,27.63,31.58,1.32,0,041000050102
512,OBS150-0020,MHAB,AA27982,050919101,Blue River,19-Sep-05,16,40,0,0,10,0,15,7.5,32.5,10,0,0,051401040905
512,OML060-0013,MHAB,AA27998,050920101,Laughery Creek,20-Sep-05,29,91,3,2.33,9.89,11,12.09,23.08,26.37,10.99,14.29,6.59,050902030507
512,OML080-0009,MHAB,AA28006,050920102,Laughery Creek,20-Sep-05,15,30,0,0,0,2,3.33,3.33,26.67,6.67,16.67,0,050902030702
512,OML030-0011,MHAB,AA27992,050921101,Tanners Creek,21-Sep-05,21,53,2,12.5,18.87,6,30.19,5.66,15.09,1.89,9.43,3.77,050902030304
512,OBS140-0008,MHAB,AA28010,050816202,Blue River,16-Oct-05,46,147,16,0,19.05,4,32.65,7.48,14.29,25.17,10.88,3.4,051401040805
811,WWU150-0044,MHAB,AA42145,060710101,East Fork White Lick Creek,10-Jul-06,35,153,11,50,1.31,10,50.33,0,11.76,0,19.61,0.65,051202011309
811,WWE060-0036,MHAB,AA42148,060717201,Mill Creek,17-Jul-06,40,165,13,8.33,1.82,8,45.45,0,16.36,12.12,9.09,3.03,051202030509
811,WWU010-0039,MHAB,AA42167,060717101,West Fork White River,17-Jul-06,35,125,8,66.67,12,3,23.2,1.6,10.4,25.6,20.8,0.8,051202010102
811,WWE020-0016,MHAB,AA42151,060717202,Big Walnut Creek,17-Jul-06,47,179,13,69.23,4.47,17,15.64,2.23,7.26,1.68,36.31,3.35,051202030404
811,WWU010-0037,MHAB,AA42150,060717102,Little Stoney Creek,17-Jul-06,31,86,3,0,10.47,6,18.6,1.16,23.26,17.44,4.65,1.16,051202010107
811,WWE030-0008,MHAB,AA42143,060717203,Little Walnut Creek,17-Jul-06,59,226,14,50,7.96,21,25.66,2.65,13.27,3.98,18.58,2.65,051202030203
811,WWU100-0038,MHAB,AA42170,060718101,Lick Creek,18-Jul-06,31,91,0,0,32.97,4,19.78,24.18,26.37,32.97,2.2,2.2,051202010805
811,WWE070-0010,MHAB,AA42164,060718201,Croys Creek,18-Jul-06,59,209,8,16.67,4.78,21,17.22,6.7,17.22,7.66,3.35,1.44,051202030701
811,WWU040-0034,MHAB,AA42147,060718102,Killbuck Creek,18-Jul-06,30,61,7,33.33,8.2,3,11.48,1.64,27.87,11.48,9.84,0,051202010307
811,WWE080-0011,MHAB,AA42156,060718202,Tributary of Birch Creek,18-Jul-06,26,184,0,2.26,7.61,14,0,10.33,7.61,2.72,8.15,1.09,051202030601
811,WWE090-0044,MHAB,AA42163,060718203,Connelly Ditch,18-Jul-06,50,185,5,44.44,21.62,20,12.43,9.73,12.43,15.14,11.89,4.32,051202030804
811,WWU080-0043,MHAB,AA42174,060718103,Christy Ditch,18-Jul-06,38,160,1,40,14.38,5,2.5,14.38,63.75,6.88,1.25,1.25,051202010602
811,WWU080-0042,MHAB,AA42162,060718104,Cicero Creek,18-Jul-06,28,122,4,52.17,6.56,6,10.66,6.56,27.05,17.21,5.74,0,051202010605
811,WWL020-0056,MHAB,AA42154,060719201,McCormicks Creek,19-Jul-06,18,98,0,0,12.24,3,1.02,9.18,11.22,6.12,2.04,1.02,051202020203
811,WWU070-0043,MHAB,AA42153,060719101,West Fork White River,19-Jul-06,42,215,14,57.14,5.12,6,33.95,5.12,14.88,6.05,6.05,0,051202010701
811,WWL020-0054,MHAB,AA42146,060719202,Raccoon Creek,19-Jul-06,53,181,6,28.57,19.34,11,2.76,4.42,30.39,3.31,11.05,3.31,051202020207
811,WWU090-0033,MHAB,AA42178,060719102,West Fork White River,19-Jul-06,31,135,11,20,7.41,4,48.89,5.93,5.19,8.89,2.22,0,051202011006
811,WWL020-0055,MHAB,AA42149,060719203,Fish Creek,19-Jul-06,40,186,6,25,12.9,12,15.05,8.6,13.44,1.61,10.75,1.08,051202020209
811,WWU110-0013,MHAB,AA42165,060719103,India Branch,19-Jul-06,23,106,6,10,8.49,5,32.08,0,6.6,23.58,25.47,2.83,051202010902
811,WWU120-0079,MHAB,AA42155,060724101,Little Eagle Creek,24-Jul-06,44,147,2,11.76,8.84,13,12.93,4.76,27.89,22.45,12.93,0.68,051202011104
811,WWU120-0079,MHAB,AA44026,060724102,Little Eagle Creek,24-Jul-06,44,116,4,0,12.07,9,13.79,8.62,20.69,12.07,4.31,1.72,051202011104
